入金日,商品,口座,銘柄コード,銘柄,単価[円/現地通貨],数量[株/口],配当・分配金合計（税引前）[円/現地通貨],税額合計[円/現地通貨],受取金額[円/現地通貨]
2021/12/29,米国株式,特定・一般,SMH,V SEMICONDUCTOR,1.5733,3,4.72,,3.4
2021/12/27,米国株式,特定・一般,VT,VA WORLD STOCK,0.785,5,3.93,,2.84
2021/12/24,米国株式,特定・一般,SPYD,SPDR SP500 H DIV,0.12756,2,0.26,,0.21
2021/12/20,米国株式,特定・一般,TECL,DRX DL TECH BL3X,0.27909,1,0.28,,0.25
2021/11/16,米国株式,特定・一般,AAPL,APPLE INC,0.22,4,0.88,,0.65
2021/10/18,米国株式,特定・一般,TSM,TAIWAN SEMI ADR,0.49125,6,2.95,,1.88
2021/10/1,米国株式,特定・一般,CXSE,WT CH EX STATE,0.14,1,0.14,,0.12
2021/9/28,米国株式,特定・一般,VT,VA WORLD STOCK,0.412,2,0.82,,0.61
2021/9/27,米国株式,特定・一般,SPYD,SPDR SP500 H DIV,0.38658,1,0.39,,0.31
2021/8/16,国内株式,特定・一般,1308,インデックスＦ　ＴＯＰＩＸ,36.52,300,"10,956","2,224","8,732"
2021/8/16,国内株式,NISA,1308,インデックスＦ　ＴＯＰＩＸ,,800,"29,216",0,"29,216"
2021/8/16,米国株式,特定・一般,AAPL,APPLE INC,0.22,4,0.88,,0.65
2021/7/19,米国株式,特定・一般,TSM,TAIWAN SEMI ADR,0.4456,6,2.67,,1.69
2021/6/28,米国株式,特定・一般,VT,VA WORLD STOCK,0.5049,2,1.01,,0.74
2021/5/17,米国株式,特定・一般,AAPL,APPLE INC,0.22,4,0.88,,0.65
2021/4/19,米国株式,特定・一般,TSM,TAIWAN SEMI ADR,0.43985,4,1.76,,1.13
2021/4/1,米国株式,特定・一般,SOXL,DRX SEMICON BL3X,0.0162,40,0.65,,0.48
2021/3/30,米国株式,特定・一般,VT,VA WORLD STOCK,0.2531,2,0.51,,0.39
2020/8/14,国内株式,特定・一般,1308,インデックスＦ　ＴＯＰＩＸ,32.5,600,"19,500","3,961","15,539"
2020/8/14,国内株式,NISA,1308,インデックスＦ　ＴＯＰＩＸ,,800,"26,000",0,"26,000"
2019/8/16,国内株式,特定・一般,1308,インデックスＦ　ＴＯＰＩＸ,33.57,900,"30,213","6,137","24,076"
2019/8/16,国内株式,NISA,1308,インデックスＦ　ＴＯＰＩＸ,,800,"26,856",0,"26,856"
2018/12/3,国内株式,特定・一般,9021,西日本旅客鉄道,87.5,100,"8,750","1,777","6,973"
2018/8/16,国内株式,NISA,1308,インデックスＦ　ＴＯＰＩＸ,,400,"12,520",0,"12,520"
2018/6/22,国内株式,特定・一般,9021,西日本旅客鉄道,80,200,"16,000","3,250","12,750"
